Tier,RSC ID,Player Name,Team(s),Franchise(s),Conf.,Div.,SBV,GP,W%,W,L,MVPs,P,SP,NP,G,A,Sv,Sh,Sh%,PPG,GPG,APG,SvPG,ShPG
Elite,,Clamhammer,FA,Free Agent,N/A,N/A,41.05,37,0.162,6,31,4,12922,6610,6312,26,17,45,91,0.275,349.24,0.68,0.46,1.22,2.46
Elite,RSC000931,Danger,FA,Free Agent,N/A,N/A,26.24,8,0.5,4,4,0,2393,1100,1293,2,4,11,15,0.133,299.13,0.25,0.50,1.38,1.88
Elite,,DonutDropTheDonut,FA,Free Agent,N/A,N/A,51.96,15,0.467,7,8,1,5126,2930,2196,12,11,17,33,0.364,341.67,0.80,0.67,1.07,2.20
Elite,RSC000097,Dravaco,FA,Free Agent,N/A,N/A,10.64,15,0.333,5,10,0,3707,1980,1727,8,5,14,23,0.348,247.07,0.53,0.27,0.87,1.53
Elite,RSC000248,Finalfear55,FA,Free Agent,N/A,N/A,31.08,16,0.188,3,13,0,4985,2710,2275,8,9,22,36,0.195,311.56,0.44,0.56,1.38,2.25
Elite,RSC000376,Graphic,FA,Free Agent,N/A,N/A,62.46,8,0.25,2,6,2,3078,1730,1348,7,5,11,23,0.304,384.75,0.88,0.63,1.38,2.88
Elite,,Humbz,FA,Free Agent,N/A,N/A,-28.9,4,0,0,4,0,600,180,420,0,0,2,8,0.000,150.00,0.00,0.00,0.50,2.00
Elite,,Jedilaser,FA,Free Agent,N/A,N/A,30.42,43,0.349,15,28,6,12682,7290,5392,27,21,55,79,0.329,294.91,0.61,0.49,1.26,1.84
Elite,,Skoden,FA,Free Agent,N/A,N/A,28.84,6,0.333,2,4,1,1634,970,664,3,2,8,17,0.176,272.17,0.50,0.33,1.17,2.83
Elite,,adhi,FA,Free Agent,N/A,N/A,45.59,46,0.348,16,30,7,16363,8860,7503,26,25,79,106,0.245,355.72,0.57,0.52,1.72,2.30
Elite,RSC000832,emito,FA,Free Agent,N/A,N/A,47.4,13,0.462,6,7,2,4008,2380,1628,10,7,13,38,0.263,308.23,0.77,0.46,1.00,2.92
Elite,,rengleif,FA,Free Agent,N/A,N/A,35.55,42,0.238,10,32,3,14561,7420,7141,28,13,61,92,0.294,346.69,0.64,0.29,1.45,2.19
Elite,,the5thandrew,FA,Free Agent,N/A,N/A,49.31,40,0.525,21,19,6,12537,7430,5107,34,24,38,93,0.366,313.43,0.85,0.60,0.95,2.33
Elite,,Chum,Falcons,Birds of Prey,Solar,N/A,65.38,54,0.5,27,27,12,20654,11780,8874,49,29,78,153,0.322,382.48,0.91,0.52,1.43,2.82
Elite,RSC000595,E=MC_HAMMER,Falcons,Birds of Prey,Solar,N/A,52.4,40,0.6,24,16,7,13407,7760,5647,36,12,50,106,0.340,335.18,0.90,0.30,1.25,2.65
Elite,RSC000149,Greenzoid,Falcons,Birds of Prey,Solar,N/A,35.15,40,0.5,20,20,5,11326,6190,5136,21,28,38,79,0.266,283.15,0.53,0.70,0.95,1.98
Elite,,MrAnderson213,Falcons,Birds of Prey,Solar,N/A,60.73,58,0.534,31,27,10,20640,11440,9200,50,42,57,149,0.331,355.85,0.85,0.71,0.97,2.55
Elite,,Jackskun,Galactic Geese,Cosmic Zoo,Lunar,N/A,33.03,54,0.407,22,32,1,16139,9150,6989,29,29,74,110,0.255,298.85,0.52,0.52,1.35,2.04
Elite,,al1ttle,Galactic Geese,Cosmic Zoo,Lunar,N/A,55.94,58,0.414,24,34,12,20570,11710,8860,51,37,67,141,0.364,354.66,0.88,0.62,1.16,2.41
Elite,RSC000655,fenixnuke,Galactic Geese,Cosmic Zoo,Lunar,N/A,52.69,50,0.4,20,30,8,17599,9990,7609,40,29,67,119,0.336,351.98,0.80,0.58,1.34,2.38
Elite,RSC000100,jekka,Galactic Geese,Cosmic Zoo,Lunar,N/A,52.18,26,0.423,11,15,5,8392,4960,3432,22,20,22,66,0.318,322.77,0.81,0.73,0.85,2.54
Elite,,Reverse Fridge,Gelato,Fifty-Fifty Pizzeria,Lunar,N/A,41.62,33,0.364,12,21,2,9831,5710,4121,23,20,31,86,0.256,297.88,0.67,0.61,0.94,2.61
Elite,RSC000308,TheCarter117,Gelato,Fifty-Fifty Pizzeria,Lunar,N/A,29.13,19,0.211,4,15,1,6030,3520,2510,12,7,32,37,0.306,317.32,0.58,0.37,1.63,1.90
Elite,,mered4,Gelato,Fifty-Fifty Pizzeria,Lunar,N/A,37.74,51,0.353,18,33,6,15625,8290,7335,33,28,48,119,0.280,306.35,0.65,0.55,0.94,2.31
Elite,RSC000009,timbo,Gelato,Fifty-Fifty Pizzeria,Lunar,N/A,51.91,54,0.426,23,31,8,18825,10640,8185,43,27,72,139,0.304,348.59,0.78,0.50,1.33,2.56
Elite,,MimiKe,Gondor,Middle Earth,Lunar,N/A,65.39,64,0.656,42,22,11,23015,13630,9385,60,39,79,173,0.341,359.61,0.92,0.59,1.22,2.70
Elite,,Sersero,Gondor,Middle Earth,Lunar,N/A,78.25,18,0.667,12,6,4,6689,4260,2429,18,17,22,51,0.353,371.56,1.00,0.89,1.22,2.83
Elite,,Vollux,Gondor,Middle Earth,Lunar,N/A,64,42,0.619,26,16,6,14608,8930,5678,36,29,55,113,0.319,347.79,0.86,0.69,1.29,2.69
Elite,,jdeleven11,Gondor,Middle Earth,Lunar,N/A,80.73,64,0.656,42,22,19,25764,14810,10954,64,48,82,191,0.335,402.56,1.00,0.75,1.27,2.98
Elite,RSC000130,Anthage,Hornets,The Swarm,Solar,N/A,37.43,43,0.442,19,24,4,13206,7350,5856,36,16,41,90,0.389,307.12,0.81,0.37,0.95,2.09
Elite,,Buck,Hornets,The Swarm,Solar,N/A,57.17,26,0.538,14,12,4,8903,5210,3693,27,13,24,66,0.409,342.42,1.04,0.46,0.92,2.54
Elite,,Other Ninja,Hornets,The Swarm,Solar,N/A,43.94,53,0.528,28,25,8,17189,9310,7879,36,26,64,121,0.297,324.30,0.68,0.47,1.19,2.28
Elite,,Twist,Hornets,The Swarm,Solar,N/A,69.7,50,0.62,31,19,14,18147,10500,7647,49,34,49,145,0.338,362.94,0.98,0.68,0.98,2.90
Elite,RSC000232,Unexpected,Hornets,The Swarm,Solar,N/A,50.06,53,0.547,29,24,10,18820,10040,8780,28,33,88,119,0.235,355.09,0.53,0.60,1.64,2.25
Elite,,Benji,Kings,House of Cards,Lunar,N/A,66.59,29,0.793,23,6,5,10198,5940,4258,27,21,30,69,0.397,351.66,0.93,0.72,1.03,2.35
Elite,,C-Voltss,Kings,House of Cards,Lunar,N/A,101.92,59,0.678,40,19,22,26415,15910,10505,76,52,75,196,0.388,447.70,1.29,0.88,1.27,3.32
Elite,,Dgallub,Kings,House of Cards,Lunar,N/A,84.92,49,0.694,34,15,12,18983,12070,6913,54,37,64,162,0.333,387.41,1.10,0.74,1.29,3.31
Elite,RSC000159,Prussia,Kings,House of Cards,Lunar,N/A,52.97,49,0.633,31,18,3,15164,8730,6434,35,37,42,128,0.268,309.45,0.69,0.76,0.84,2.59
Elite,RSC000406,Mako,Knights,The Sovereign,Lunar,N/A,79.69,64,0.781,50,14,19,23655,14600,9055,74,36,66,210,0.354,369.61,1.16,0.56,1.03,3.27
Elite,,Metaquix,Knights,The Sovereign,Lunar,N/A,58.32,14,0.786,11,3,1,3962,2550,1412,12,12,7,40,0.300,282.93,0.86,0.79,0.43,2.86
Elite,RSC000382,Snipe,Knights,The Sovereign,Lunar,N/A,74.01,61,0.754,46,15,18,22077,12510,9567,54,54,54,171,0.316,361.92,0.89,0.89,0.87,2.80
Elite,,Syn,Knights,The Sovereign,Lunar,N/A,75.12,64,0.766,49,15,14,23248,13900,9348,64,52,63,175,0.366,363.25,1.00,0.81,0.97,2.73
Elite,,ArmBiter,Lions,Apex Predators,Solar,N/A,54.6,12,0.333,4,8,2,4477,2530,1947,12,6,15,28,0.429,373.08,1.00,0.42,1.25,2.33
Elite,,Lil Juicebox,Lions,Apex Predators,Solar,N/A,34.26,3,0,0,3,0,1035,510,525,1,3,4,6,0.200,345.00,0.33,1.00,1.33,1.67
Elite,RSC000855,SauceOnInfinity,Lions,Apex Predators,Solar,N/A,22.39,35,0.229,8,27,4,9512,5430,4082,23,16,34,63,0.365,271.74,0.66,0.43,0.97,1.80
Elite,,Sheezle,Lions,Apex Predators,Solar,N/A,36.19,49,0.286,14,35,3,15494,9090,6404,37,20,67,104,0.346,316.20,0.74,0.39,1.37,2.12
Elite,,Babz,Missiles,Fallout Shelter,Solar,N/A,46.08,32,0.531,17,15,2,9969,6230,3739,23,20,44,73,0.302,311.53,0.69,0.59,1.34,2.28
Elite,RSC000489,MattG,Missiles,Fallout Shelter,Solar,N/A,50.83,33,0.485,16,17,4,10983,6680,4303,30,14,43,83,0.350,332.82,0.88,0.42,1.27,2.52
Elite,RSC000082,Memlo,Missiles,Fallout Shelter,Solar,N/A,53.88,66,0.5,33,33,15,23656,13180,10476,56,33,89,148,0.378,358.42,0.85,0.50,1.35,2.24
Elite,,Vortexx,Missiles,Fallout Shelter,Solar,N/A,43.62,19,0.263,5,14,1,6120,3460,2660,13,12,21,51,0.255,322.11,0.68,0.58,1.05,2.68
Elite,RSC000535,yolkk,PermFA,Free Agent,N/A,N/A,65.99,6,0.333,2,4,1,2153,1470,683,8,5,5,17,0.412,358.67,1.17,0.67,0.83,2.83
Elite,RSC000052,Barra,Phoenix,The Birdcage,Lunar,N/A,43.77,57,0.579,33,24,9,18029,10160,7869,45,30,61,111,0.409,316.28,0.79,0.51,1.05,1.93
Elite,,Nicnac,Phoenix,The Birdcage,Lunar,N/A,55.07,55,0.582,32,23,9,19508,10480,9028,37,38,72,128,0.281,354.67,0.66,0.67,1.29,2.33
Elite,RSC000606,Y-Low,Phoenix,The Birdcage,Lunar,N/A,47.56,23,0.522,12,11,4,7463,4380,3083,17,13,30,53,0.302,324.48,0.70,0.57,1.30,2.30
Elite,,kccolts81,Phoenix,The Birdcage,Lunar,N/A,66.48,66,0.561,37,29,16,24778,14310,10468,65,40,81,176,0.366,375.42,0.97,0.59,1.23,2.65
Elite,,Denslow19,Pogchamps,The Meme Machine,Solar,N/A,22.44,12,0.083,1,11,0,3457,2060,1397,7,3,18,31,0.226,288.08,0.58,0.17,1.42,2.58
Elite,,Neil,Pogchamps,The Meme Machine,Solar,N/A,51.8,24,0.5,12,12,4,8085,4470,3615,14,20,30,57,0.228,336.88,0.54,0.83,1.25,2.38
Elite,,Notta,Pogchamps,The Meme Machine,Solar,N/A,45.95,34,0.353,12,22,7,11148,6080,5068,22,20,39,93,0.239,327.85,0.65,0.56,1.15,2.71
Elite,RSC000220,Sparcnova,Pogchamps,The Meme Machine,Solar,N/A,77.06,26,0.5,13,13,4,10203,6350,3853,26,24,37,70,0.371,392.42,1.00,0.89,1.39,2.69
Elite,RSC000414,B-Rad,Stingrays,The Aquarium,Solar,N/A,15.86,49,0.245,12,37,3,13711,7520,6191,25,18,69,67,0.358,279.80,0.49,0.37,1.39,1.37
Elite,RSC000639,General Mills,Stingrays,The Aquarium,Solar,N/A,-11.2,24,0.083,2,22,1,5031,2490,2541,8,8,21,24,0.292,209.63,0.29,0.29,0.88,1.00
Elite,,Mr_Lovette,Stingrays,The Aquarium,Solar,N/A,42.11,28,0.321,9,19,4,9700,5560,4140,23,9,44,61,0.383,346.39,0.82,0.29,1.57,2.14
Elite,,delta hx,Stingrays,The Aquarium,Solar,N/A,42.86,62,0.226,14,48,4,21489,12020,9469,45,32,91,137,0.324,346.58,0.71,0.52,1.45,2.19
Elite,,HarrisonWC,Tarrasques,The Dungeon,Lunar,N/A,33,41,0.415,17,24,6,13151,6850,6301,24,13,59,85,0.286,320.76,0.59,0.29,1.44,2.05
Elite,RSC000517,Keystone_,Tarrasques,The Dungeon,Lunar,N/A,34.25,59,0.288,17,42,6,19335,10390,8945,37,26,85,114,0.325,327.70,0.63,0.42,1.42,1.93
Elite,,The Wizard,Tarrasques,The Dungeon,Lunar,N/A,37.11,41,0.317,13,28,8,13177,7550,5627,31,19,54,80,0.380,321.37,0.73,0.46,1.32,1.93
Elite,RSC000334,crabasaur,Tarrasques,The Dungeon,Lunar,N/A,39.43,57,0.333,19,38,2,18171,9880,8291,39,28,65,133,0.293,318.79,0.68,0.49,1.12,2.33
Elite,,Dred,Tempests,The Storm,Solar,N/A,64.24,39,0.846,33,6,5,12788,7780,5008,32,30,41,103,0.301,327.87,0.80,0.74,1.05,2.64
Elite,,Joe,Tempests,The Storm,Solar,N/A,47.44,53,0.509,27,26,9,17479,9230,8249,37,27,57,133,0.278,329.77,0.70,0.51,1.06,2.51
Elite,,Nipsss,Tempests,The Storm,Solar,N/A,112.55,68,0.868,59,9,30,30904,19310,11594,97,67,80,226,0.431,454.46,1.43,0.97,1.18,3.31
Elite,RSC000193,Shamu,Tempests,The Storm,Solar,N/A,98.93,62,0.871,54,8,21,26290,16290,10000,77,53,79,199,0.384,424.03,1.23,0.84,1.27,3.19
Elite,RSC000236,Slurp,Tempests,The Storm,Solar,N/A,94.66,28,0.929,26,2,3,10555,6720,3835,30,34,23,87,0.333,376.96,1.04,1.21,0.79,3.11
Elite,RSC000225,Lanto,Trashcans,Waste Management,Solar,N/A,88.88,4,0.25,1,3,1,1910,1240,670,4,4,11,9,0.444,477.50,1.00,1.00,2.75,2.25
Elite,RSC000295,Matutu,Trashcans,Waste Management,Solar,N/A,35.66,46,0.348,16,30,5,14865,7800,7065,30,14,60,110,0.273,323.15,0.65,0.28,1.28,2.39
Elite,,iBlitzKing,Trashcans,Waste Management,Solar,N/A,8.96,44,0.295,13,31,1,11482,5580,5902,17,10,54,68,0.250,260.93,0.39,0.23,1.21,1.55
Elite,,whale,Trashcans,Waste Management,Solar,N/A,42.85,26,0.269,7,19,3,9389,5450,3939,18,9,53,55,0.333,361.12,0.69,0.35,2.04,2.08
Premier,RSC000252,Cearu,Aces,House of Cards,Lunar,N/A,63.48,45,0.711,32,13,10,16403,10210,6193,41,31,68,116,0.356,364.49,0.91,0.67,1.51,2.56
Premier,RSC000072,Jarl,Aces,House of Cards,Lunar,N/A,85.63,35,0.743,26,9,11,14494,8780,5714,32,39,53,98,0.316,414.09,0.89,1.09,1.49,2.80
Premier,RSC000129,Seb,Aces,House of Cards,Lunar,N/A,78.59,44,0.727,32,12,12,17165,10670,6495,53,32,49,132,0.394,390.09,1.18,0.71,1.09,3.00
Premier,,henrY,Aces,House of Cards,Lunar,N/A,71.17,32,0.844,27,5,6,12464,7620,4844,28,23,58,77,0.364,389.50,0.88,0.69,1.81,2.41
Premier,RSC000415,Cierex,Chargers,Electric Mayhem,Lunar,N/A,47.77,51,0.686,35,16,8,17286,10090,7196,38,25,76,124,0.306,338.92,0.75,0.49,1.47,2.43
Premier,,Siq,Chargers,Electric Mayhem,Lunar,N/A,59.29,51,0.588,30,21,10,19035,10750,8285,42,32,71,140,0.293,373.24,0.80,0.63,1.39,2.75
Premier,,Sonu,Chargers,Electric Mayhem,Lunar,N/A,26.94,20,0.55,11,9,3,6002,3180,2822,11,9,24,43,0.256,300.10,0.55,0.45,1.20,2.15
Premier,RSC000384,Southpaw,Chargers,Electric Mayhem,Lunar,N/A,73.42,55,0.673,37,18,21,21678,12960,8718,56,39,77,156,0.359,394.15,1.02,0.69,1.38,2.84
Premier,,2% Mike,FA,Free Agent,N/A,N/A,47.28,14,0.286,4,10,1,5236,2830,2406,12,7,19,33,0.364,374.00,0.86,0.50,1.36,2.36
Premier,RSC000715,IndecisiveSquirrel,FA,Free Agent,N/A,N/A,28.73,8,0.25,2,6,0,2550,1470,1080,5,6,11,12,0.417,318.75,0.63,0.75,1.38,1.50
Premier,,KiCKER,FA,Free Agent,N/A,N/A,70.94,18,0.556,10,8,4,6783,4070,2713,17,15,20,62,0.262,376.78,0.89,0.83,1.11,3.39
Premier,,Vroko,FA,Free Agent,N/A,N/A,30.34,11,0.273,3,8,1,3915,1950,1965,6,6,17,20,0.300,355.91,0.55,0.46,1.55,1.82
Premier,,breaz,FA,Free Agent,N/A,N/A,89.29,4,1,4,0,0,1401,920,481,4,6,2,12,0.333,350.25,1.00,1.50,0.50,3.00
Premier,,lex,FA,Free Agent,N/A,N/A,13.82,1,0,0,1,0,305,170,135,1,0,1,2,0.500,305.00,1.00,0.00,1.00,2.00
Premier,,polar,FA,Free Agent,N/A,N/A,21.08,6,0.333,2,4,1,1797,930,867,2,3,8,18,0.056,299.50,0.17,0.50,1.33,3.00
Premier,,Canadiyan,Garbage Trucks,Waste Management,Solar,N/A,54.96,52,0.635,33,19,13,18803,10530,8273,39,28,75,148,0.259,361.60,0.73,0.54,1.44,2.83
Premier,,Cray.,Garbage Trucks,Waste Management,Solar,N/A,65.85,36,0.639,23,13,6,13575,8320,5255,36,21,53,102,0.356,377.08,1.00,0.56,1.47,2.81
Premier,,comp,Garbage Trucks,Waste Management,Solar,N/A,78.23,18,0.833,15,3,5,7402,4340,3062,20,11,26,49,0.388,411.17,1.06,0.61,1.39,2.72
Premier,,jcubedrl,Garbage Trucks,Waste Management,Solar,N/A,54.87,37,0.676,25,12,8,12949,7570,5379,33,22,44,97,0.333,349.95,0.87,0.57,1.19,2.60
Premier,,Destin,Hurricanes,The Storm,Solar,N/A,75.13,26,0.538,14,12,8,10565,6160,4405,26,20,35,81,0.309,406.31,0.96,0.77,1.31,3.12
Premier,,Dribbs,Hurricanes,The Storm,Solar,N/A,61.94,51,0.431,22,29,8,19522,11420,8102,40,38,81,147,0.265,382.78,0.77,0.75,1.57,2.88
Premier,,JimmyW,Hurricanes,The Storm,Solar,N/A,37.71,37,0.459,17,20,5,12138,7020,5118,25,22,52,82,0.293,328.05,0.65,0.57,1.41,2.22
Premier,RSC000396,Zeke,Hurricanes,The Storm,Solar,N/A,56.86,41,0.415,17,24,5,14891,8830,6061,46,18,42,123,0.369,363.20,1.10,0.44,1.02,2.98
Premier,,Phat,Jungle Children,CCA United,Solar,N/A,42.24,42,0.429,18,24,9,14593,7880,6713,26,24,60,108,0.243,347.45,0.62,0.55,1.41,2.55
Premier,RSC000404,Whitebark,Jungle Children,CCA United,Solar,N/A,22.34,50,0.38,19,31,5,14248,7870,6378,29,29,50,102,0.284,284.96,0.58,0.58,1.00,2.04
Premier,,jask95,Jungle Children,CCA United,Solar,N/A,25.09,27,0.333,9,18,3,8198,4540,3658,21,10,27,59,0.339,303.59,0.74,0.37,1.00,2.19
Premier,,threes,Jungle Children,CCA United,Solar,N/A,48.24,45,0.4,18,27,5,15948,8890,7058,37,26,54,119,0.311,354.38,0.82,0.56,1.20,2.64
Premier,,Angebro,Mordor,Middle Earth,Lunar,N/A,51.53,44,0.545,24,20,7,16084,9640,6444,39,24,72,94,0.404,365.55,0.86,0.52,1.61,2.14
Premier,RSC000340,Luckky,Mordor,Middle Earth,Lunar,N/A,33.28,27,0.333,9,18,1,9135,4870,4265,13,18,42,57,0.228,338.33,0.48,0.63,1.52,2.11
Premier,,Navystriker,Mordor,Middle Earth,Lunar,N/A,55.06,32,0.531,17,15,5,11271,6230,5041,26,20,32,103,0.255,352.19,0.81,0.59,1.00,3.19
Premier,RSC000424,Neb,Mordor,Middle Earth,Lunar,N/A,28.96,16,0.438,7,9,1,5549,2720,2829,4,8,32,32,0.125,346.81,0.25,0.50,1.94,2.00
Premier,,k8,Mordor,Middle Earth,Lunar,N/A,40.91,48,0.396,19,29,8,17614,9770,7844,34,23,87,87,0.380,366.94,0.69,0.48,1.81,1.81
Premier,,.tristn,Nukes,Fallout Shelter,Solar,N/A,96.5,51,0.588,30,21,11,21766,14100,7666,71,38,63,195,0.361,426.78,1.37,0.75,1.24,3.80
Premier,,Comentix,Nukes,Fallout Shelter,Solar,N/A,15.6,8,0.25,2,6,0,2304,1200,1104,3,3,11,20,0.150,288.00,0.38,0.38,1.38,2.50
Premier,,Reeves,Nukes,Fallout Shelter,Solar,N/A,73.07,52,0.596,31,21,12,20295,12060,8235,53,35,67,166,0.319,390.29,1.02,0.67,1.29,3.19
Premier,,xGatman,Nukes,Fallout Shelter,Solar,N/A,89.23,44,0.659,29,15,9,17434,11250,6184,49,42,51,170,0.284,396.21,1.09,0.93,1.16,3.84
Premier,,OneTwoFour,Owlbears,The Dungeon,Lunar,N/A,58.17,35,0.4,14,21,10,13764,7950,5814,34,18,55,90,0.371,393.23,0.94,0.49,1.57,2.54
Premier,,Tysqueezy,Owlbears,The Dungeon,Lunar,N/A,26.42,34,0.294,10,24,1,10116,5630,4486,22,17,34,88,0.242,297.53,0.62,0.50,1.00,2.56
Premier,,koztum,Owlbears,The Dungeon,Lunar,N/A,38.75,27,0.333,9,18,1,9094,5350,3744,19,18,39,60,0.300,336.78,0.67,0.63,1.44,2.22
Premier,,Bort,Quasars,Interstellar,Lunar,N/A,29.12,39,0.436,17,22,2,11920,6880,5040,22,21,55,88,0.253,305.64,0.56,0.51,1.41,2.23
Premier,RSC000299,DirtyEagle56,Quasars,Interstellar,Lunar,N/A,30.99,16,0.5,8,8,3,4909,2790,2119,13,8,16,29,0.448,306.81,0.81,0.50,0.94,1.81
Premier,,Premium Manatee,Quasars,Interstellar,Lunar,N/A,64.91,44,0.432,19,25,8,17004,9660,7344,43,31,50,131,0.328,386.43,0.98,0.68,1.11,2.98
Premier,,Rascel,Quasars,Interstellar,Lunar,N/A,45.79,4,0.25,1,3,0,1513,750,763,2,3,6,10,0.200,378.25,0.50,0.75,1.50,2.50
Premier,,Clark,Sharks,The Aquarium,Solar,N/A,58.61,59,0.559,33,26,9,21063,12240,8823,50,43,68,169,0.296,357.00,0.85,0.71,1.14,2.86
Premier,RSC000139,JMelly,Sharks,The Aquarium,Solar,N/A,65.27,7,0.571,4,3,1,2715,1830,885,9,4,11,18,0.445,387.86,1.14,0.43,1.57,2.57
Premier,,Leveled,Sharks,The Aquarium,Solar,N/A,51.96,55,0.527,29,26,7,18915,10890,8025,45,33,63,159,0.285,343.91,0.82,0.60,1.15,2.87
Premier,,sarc,Sharks,The Aquarium,Solar,N/A,71.21,59,0.559,33,26,16,23842,14050,9792,59,37,93,165,0.360,404.09,1.00,0.63,1.58,2.78
Premier,,Ryan :(,Universal Unicorns,Cosmic Zoo,Lunar,N/A,11.21,32,0,0,0,0,9513,5200,4313,17,13,45,60,0.283,297.28,0.53,0.41,1.41,1.88
Premier,,SodoSopa,Universal Unicorns,Cosmic Zoo,Lunar,N/A,38.36,20,0.15,3,17,0,6836,3780,3056,14,12,25,53,0.264,341.80,0.70,0.60,1.25,2.65
Premier,,Squatchy,Universal Unicorns,Cosmic Zoo,Lunar,N/A,25.72,39,0.256,10,29,4,12459,6730,5729,27,16,49,78,0.346,319.44,0.69,0.41,1.26,2.00
Premier,,Ward,Universal Unicorns,Cosmic Zoo,Lunar,N/A,0.43,20,0.15,3,17,1,5472,2810,2662,10,4,26,31,0.323,273.60,0.50,0.20,1.30,1.55
Premier,,Kuunalem,Wheels,The Quad Dynasty,Solar,N/A,86.3,56,0.429,24,32,15,26007,15290,10717,67,27,109,179,0.369,464.39,1.18,0.48,1.93,3.20
Premier,,Pizzle,Wheels,The Quad Dynasty,Solar,N/A,41.56,58,0.448,26,32,4,19285,10700,8585,38,38,71,145,0.257,332.48,0.64,0.66,1.22,2.48
Premier,,RVP,Wheels,The Quad Dynasty,Solar,N/A,49.04,48,0.417,20,28,4,17098,9500,7598,27,39,72,125,0.216,356.19,0.56,0.79,1.50,2.60
Premier,,eman4ever,Wheels,The Quad Dynasty,Solar,N/A,40.78,17,0.471,8,9,3,5442,3220,2222,15,8,17,47,0.326,320.06,0.88,0.41,1.00,2.71
Prospect,RSC000545,A Hammered Hamster,Drizzle,The Storm,Solar,N/A,92.16,51,0.706,36,15,14,18617,10870,7747,45,43,53,157,0.288,365.02,0.88,0.82,1.04,3.06
Prospect,RSC000635,Cousin Nicky,Drizzle,The Storm,Solar,N/A,99.42,50,0.7,35,15,15,19552,12410,7142,75,21,45,161,0.466,391.04,1.50,0.42,0.90,3.22
Prospect,,KD35BEASTNATION,Drizzle,The Storm,Solar,N/A,66.68,17,0.706,12,5,3,5383,3370,2013,15,9,22,32,0.438,316.65,0.82,0.53,1.29,1.88
Prospect,RSC000869,its a cookie dusta,Drizzle,The Storm,Solar,N/A,58.34,46,0.696,32,14,7,13414,7430,5984,28,30,46,83,0.325,291.59,0.59,0.65,1.00,1.80
Prospect,,JaBooty,FA,Free Agent,N/A,N/A,30.91,24,0.417,10,14,1,5711,3310,2401,14,8,23,36,0.361,237.96,0.54,0.33,0.92,1.50
Prospect,,JaiTheNoob,FA,Free Agent,N/A,N/A,16.42,10,0.4,4,6,2,2120,1040,1080,5,1,7,14,0.357,212.00,0.50,0.10,0.70,1.40
Prospect,,LOCKDOWN3501,FA,Free Agent,N/A,N/A,16.11,2,0,0,2,0,418,220,198,1,1,1,2,0.500,209.00,0.50,0.50,0.50,1.00
Prospect,,Trippie Spedd,FA,Free Agent,N/A,N/A,66.49,26,0.346,9,17,7,9432,5300,4132,26,5,35,70,0.371,362.73,1.00,0.19,1.31,2.69
Prospect,,Way2S1kk,FA,Free Agent,N/A,N/A,-0.91,13,0.154,2,11,0,2265,1260,1005,5,2,10,16,0.267,174.15,0.31,0.08,0.77,1.15
Prospect,,Wrathofmcgrath,FA,Free Agent,N/A,N/A,26.48,4,0,0,4,0,971,510,461,2,2,3,6,0.333,242.75,0.50,0.50,0.75,1.50
Prospect,,JBomb,Fire Ants,The Swarm,Solar,N/A,78.33,56,0.661,37,19,20,20313,11410,8903,60,26,56,131,0.458,362.73,1.07,0.46,1.00,2.34
Prospect,,LiveWire73,Fire Ants,The Swarm,Solar,N/A,54.29,51,0.647,33,18,10,15215,8360,6855,33,20,60,106,0.311,298.33,0.65,0.37,1.16,2.08
Prospect,RSC000223,RJsaurus,Fire Ants,The Swarm,Solar,N/A,46.82,5,0.8,4,1,0,1428,850,578,4,1,7,5,0.800,285.60,0.80,0.20,1.40,1.00
Prospect,RSC000723,kntihasdbfh,Fire Ants,The Swarm,Solar,N/A,51.96,56,0.661,37,19,7,15197,8420,6777,38,26,42,122,0.306,271.38,0.66,0.46,0.75,2.16
Prospect,RSC000782,HUDx,Gorgons,πολύ κεφάλη,Lunar,N/A,57.91,51,0.529,27,24,11,15927,8940,6987,43,24,50,94,0.462,312.28,0.84,0.45,0.96,1.82
Prospect,RSC000213,Heartless,Gorgons,πολύ κεφάλη,Lunar,N/A,50.86,42,0.5,21,21,10,12020,6860,5160,34,17,35,86,0.388,286.19,0.79,0.38,0.81,2.02
Prospect,,Rugerplays,Gorgons,πολύ κεφάλη,Lunar,N/A,38.52,57,0.474,27,30,5,16027,7960,8067,24,21,72,91,0.264,281.16,0.42,0.35,1.25,1.60
Prospect,RSC000258,honeybadgermo,Gorgons,πολύ κεφάλη,Lunar,N/A,29.26,45,0.267,12,33,4,11529,5910,5619,23,14,44,71,0.314,256.20,0.49,0.31,0.96,1.56
Prospect,,D3lta2k0,Huskies,Dog Pound,Solar,N/A,53.57,19,0.474,9,10,3,5409,3200,2209,15,12,15,35,0.400,284.63,0.74,0.58,0.79,1.84
Prospect,,ScRubbzy62,Huskies,Dog Pound,Solar,N/A,70.96,62,0.435,27,31,10,21124,12210,8914,56,33,67,161,0.350,340.69,0.90,0.53,1.07,2.58
Prospect,,Swillie13,Huskies,Dog Pound,Solar,N/A,86.29,48,0.75,36,12,14,17362,10360,7002,50,28,53,131,0.374,361.69,1.02,0.58,1.10,2.73
Prospect,,cthulu33,Huskies,Dog Pound,Solar,N/A,19.18,35,0.543,19,16,1,6397,3640,2757,16,11,20,49,0.326,182.77,0.46,0.29,0.54,1.40
