,,,Name,Tier,Team(s),Franchise(s),Conference,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
,,,Prismiswashed.,Rival,MUTO,Kaiju,Solar,50.4,798,52,0.476,0.462,24,28,18339,10880,7459,50,28,62,138,36.2%,342.7,203.3,139.4,0.93,0.52,1.16,2.58,352.7,209.2,143.4,0.96,0.54,1.19,2.65,129,137,2.41,2.56,2.48,2.63
,,,5Pike,Rival,Dire Wolves,Polar Vortex,Lunar,50.3,920,62,0.379,0.306,19,43,21707,12570,9137,57,26,79,162,35.2%,351.8,203.7,148.1,0.92,0.42,1.28,2.63,350.1,202.7,147.4,0.92,0.42,1.27,2.61,128,175,2.07,2.84,2.06,2.82
,,,Dunnie14,Rival,Justice League,The Comic Crusaders,Lunar,50.2,880,60,0.484,0.483,29,31,20214,10920,9294,42,42,68,122,34.4%,342.5,185.0,157.5,0.71,0.71,1.15,2.07,336.9,182.0,154.9,0.70,0.70,1.13,2.03,144,150,2.44,2.54,2.40,2.50
,,,Iesblueice,Rival,MUTO,Kaiju,Solar,49.8,522,34,0.481,0.441,15,19,11788,6230,5558,25,21,36,88,28.4%,336.7,178.0,158.8,0.71,0.60,1.03,2.51,346.7,183.2,163.5,0.74,0.62,1.06,2.59,80,84,2.29,2.40,2.35,2.47
,,,Jimjam,Rival,Holyhead Harpies,Quidditch League,Solar,49.7,685,47,0.421,0.426,20,27,15489,8430,7059,34,23,52,128,26.6%,337.2,183.5,153.7,0.74,0.50,1.13,2.79,329.6,179.4,150.2,0.72,0.49,1.11,2.72,110,134,2.39,2.92,2.34,2.85
,,,Debt,Rival,Mozza Marauders,Italian Battalion,Lunar,49.1,788,55,0.420,0.418,23,32,18075,10230,7845,42,31,65,123,34.1%,342.0,193.6,148.5,0.79,0.59,1.23,2.33,328.6,186.0,142.6,0.76,0.56,1.18,2.24,126,154,2.38,2.91,2.29,2.80
,,,Lastdark,Rival,Fangtooths,The Abyss,Lunar,48.9,808,55,0.475,0.436,24,31,17934,9590,8344,27,38,74,129,20.9%,331.0,177.0,154.0,0.50,0.70,1.37,2.38,326.1,174.4,151.7,0.49,0.69,1.35,2.35,118,126,2.18,2.33,2.15,2.29
,,,Blaniac,Rival,Necromorphs,The Monster Mash,Lunar,48.6,409,28,0.415,0.464,13,15,8856,4760,4096,18,20,26,66,27.3%,322.9,173.5,149.3,0.66,0.73,0.95,2.41,316.3,170.0,146.3,0.64,0.71,0.93,2.36,62,77,2.26,2.81,2.21,2.75
,,,Chulainn,Rival,Wind,The Elements,Solar,48.4,729,51,0.476,0.431,22,29,16976,9940,7036,51,17,53,134,38.1%,347.2,203.3,143.9,1.04,0.35,1.08,2.74,332.9,194.9,138.0,1.00,0.33,1.04,2.63,109,116,2.23,2.37,2.14,2.27
,,,Trano.,Rival,Surge,Electric Mayhem,Lunar,48.4,90,6,0.558,0.500,3,3,2021,1210,811,6,3,6,16,37.5%,334.8,200.5,134.4,0.99,0.50,0.99,2.65,336.8,201.7,135.2,1.00,0.50,1.00,2.67,14,12,2.32,1.99,2.33,2.00
,,,Legend,Rival,Snuggies,As Seen on TV!,Solar,47.5,803,53,0.551,0.547,29,24,18024,9850,8174,38,33,63,125,30.4%,334.7,182.9,151.8,0.71,0.61,1.17,2.32,340.1,185.8,154.2,0.72,0.62,1.19,2.36,129,113,2.40,2.10,2.43,2.13
,,,Dr. Babies,Rival,Fangtooths,The Abyss,Lunar,47.3,264,17,0.528,0.529,9,8,6276,3730,2546,18,8,23,38,47.4%,354.5,210.7,143.8,1.02,0.45,1.30,2.15,369.2,219.4,149.8,1.06,0.47,1.35,2.24,43,40,2.43,2.26,2.53,2.35
,,,Tmonz14,Rival,Surge,Electric Mayhem,Lunar,47.2,930,63,0.641,0.698,44,19,20293,11690,8603,45,40,73,154,29.2%,325.4,187.4,137.9,0.72,0.64,1.17,2.47,322.1,185.6,136.6,0.71,0.63,1.16,2.44,178,123,2.85,1.97,2.83,1.95
,,,Icyphic,Rival,Bowheads,Whale Defense,Solar,47.1,701,45,0.465,0.422,19,26,15417,8630,6787,37,26,48,123,30.1%,327.9,183.6,144.4,0.79,0.55,1.02,2.62,342.6,191.8,150.8,0.82,0.58,1.07,2.73,107,117,2.28,2.49,2.38,2.60
,,,Lebaneseninja,Rival,Basilisks,The Bestiary,Lunar,46.5,57,4,0.420,0.250,1,3,1392,790,602,4,1,5,9,44.4%,364.2,206.7,157.5,1.05,0.26,1.31,2.35,348.0,197.5,150.5,1.00,0.25,1.25,2.25,9,11,2.35,2.88,2.25,2.75
,,,Creamysteve,Rival,Warrior Wasps,The Swarm,Solar,46.5,297,21,0.404,0.429,9,12,6541,3640,2901,15,10,22,54,27.8%,328.4,182.8,145.7,0.75,0.50,1.10,2.71,311.5,173.3,138.1,0.71,0.48,1.05,2.57,48,61,2.41,3.06,2.29,2.90
,,,Mattixbigs,Rival,Dire Wolves,Polar Vortex,Lunar,45.7,920,62,0.379,0.306,19,43,20899,10790,10109,33,35,87,139,23.7%,338.7,174.9,163.8,0.53,0.57,1.41,2.25,337.1,174.0,163.0,0.53,0.56,1.40,2.24,128,175,2.07,2.84,2.06,2.82
,,,Sirkrow,Rival,Polar Ice,Minty Fresh,Solar,45.5,722,51,0.420,0.471,24,27,16325,9210,7115,34,33,65,91,37.4%,337.2,190.2,146.9,0.70,0.68,1.34,1.88,320.1,180.6,139.5,0.67,0.65,1.27,1.78,112,137,2.31,2.83,2.20,2.69
,,,Jestergg,Rival,Mozza Marauders,Italian Battalion,Lunar,44.7,213,16,0.402,0.250,4,12,4864,2390,2474,12,6,11,34,35.3%,340.5,167.3,173.2,0.84,0.42,0.77,2.38,304.0,149.4,154.6,0.75,0.38,0.69,2.13,32,41,2.24,2.87,2.00,2.56
,,,Wicked Wilt,Rival,Ultraviolet,The Wavelengths,Solar,44.4,975,63,0.503,0.540,34,29,20890,11350,9540,41,39,73,165,24.8%,319.5,173.6,145.9,0.63,0.60,1.12,2.52,331.6,180.2,151.4,0.65,0.62,1.16,2.62,144,143,2.20,2.19,2.29,2.27
,,,Thunda Esq,Rival,Mozza Marauders,Italian Battalion,Lunar,44.0,505,34,0.429,0.500,17,17,11052,6110,4942,23,24,39,66,34.8%,326.3,180.4,145.9,0.68,0.71,1.15,1.95,325.1,179.7,145.4,0.68,0.71,1.15,1.94,83,99,2.45,2.92,2.44,2.91
,,,Galvarino,Rival,Polar Bears,The Bear Den,Lunar,42.9,932,64,0.403,0.484,31,33,21086,12110,8976,54,28,78,141,38.3%,337.4,193.8,143.6,0.86,0.45,1.25,2.26,329.5,189.2,140.3,0.84,0.44,1.22,2.20,140,179,2.24,2.86,2.19,2.80
,,,Ryanawesome_,Rival,Polar Bears,The Bear Den,Lunar,42.7,932,64,0.403,0.484,31,33,20958,11760,9198,42,34,91,131,32.1%,335.3,188.2,147.2,0.67,0.54,1.46,2.10,327.5,183.8,143.7,0.66,0.53,1.42,2.05,140,179,2.24,2.86,2.19,2.80
,,,Kingbonkk,Rival,"Reverb
Fangtooths","Rock FX
The Abyss",Lunar,42.7,671,46,0.428,0.391,18,28,15181,8370,6811,24,22,77,102,23.5%,337.4,186.0,151.4,0.53,0.49,1.71,2.27,330.0,182.0,148.1,0.52,0.48,1.67,2.22,84,102,1.87,2.27,1.83,2.22
,,,Nano,Rival,Polar Ice,Minty Fresh,Solar,42.5,791,54,0.384,0.444,24,30,18021,10230,7791,45,16,71,138,32.6%,339.7,192.9,146.9,0.85,0.30,1.34,2.60,333.7,189.4,144.3,0.83,0.30,1.31,2.56,108,146,2.04,2.75,2.00,2.70
,,,Hexic,Rival,Greed,Inferno,Solar,42.4,455,29,0.363,0.379,11,18,10261,5850,4411,25,15,39,65,38.5%,336.3,191.7,144.6,0.82,0.49,1.28,2.13,353.8,201.7,152.1,0.86,0.52,1.34,2.24,67,95,2.20,3.11,2.31,3.28
,,,Goose,Rival,Blizzards,Storm,Solar,42.3,962,63,0.537,0.524,33,30,20990,12090,8900,54,37,69,139,38.8%,325.4,187.4,138.0,0.84,0.57,1.07,2.15,333.2,191.9,141.3,0.86,0.59,1.10,2.21,166,151,2.57,2.34,2.63,2.40
,,,Cob,Rival,Greed,Inferno,Solar,42.2,750,48,0.388,0.417,20,28,16564,9670,6894,39,28,66,107,36.4%,329.3,192.3,137.1,0.78,0.56,1.31,2.13,345.1,201.5,143.6,0.81,0.58,1.38,2.23,118,156,2.35,3.10,2.46,3.25
,,,Bananner,Rival,Snuggies,As Seen on TV!,Solar,42.0,636,42,0.522,0.548,23,19,13942,7520,6422,22,22,64,102,21.6%,326.9,176.3,150.6,0.52,0.52,1.50,2.39,332.0,179.0,152.9,0.52,0.52,1.52,2.43,89,84,2.09,1.97,2.12,2.00
,,,Mykopolis,Rival,Greed,Inferno,Solar,41.6,784,50,0.459,0.480,24,26,16450,9780,6670,41,34,56,118,34.7%,312.9,186.0,126.9,0.78,0.65,1.07,2.24,329.0,195.6,133.4,0.82,0.68,1.12,2.36,142,157,2.70,2.99,2.84,3.14
,,,Lazaryo,Rival,Scorpius,The N Ξ X U S,Solar,41.4,894,62,0.410,0.435,27,35,18785,10500,8285,42,35,62,145,29.0%,313.3,175.1,138.2,0.70,0.58,1.03,2.42,303.0,169.4,133.6,0.68,0.56,1.00,2.34,126,159,2.10,2.65,2.03,2.56
,,,Cozyboy,Rival,Wings,Fifty-Fifty Pizzeria,Solar,41.1,697,45,0.673,0.644,29,16,14964,8590,6374,32,29,59,99,32.3%,320.1,183.8,136.4,0.68,0.62,1.26,2.12,332.5,190.9,141.6,0.71,0.64,1.31,2.20,142,90,3.04,1.93,3.16,2.00
,,,Dfitz,Rival,Blizzards,Storm,Solar,40.7,434,29,0.527,0.552,16,13,9692,5680,4012,22,12,44,68,32.4%,333.0,195.2,137.8,0.76,0.41,1.51,2.34,334.2,195.9,138.3,0.76,0.41,1.52,2.34,77,72,2.65,2.47,2.66,2.48
,,,Kyllonen_,Rival,Hammerheads,Shark Attack,Lunar,40.5,696,44,0.449,0.432,19,25,14204,8050,6154,30,26,50,125,24.0%,304.3,172.5,131.8,0.64,0.56,1.07,2.68,322.8,183.0,139.9,0.68,0.59,1.14,2.84,100,114,2.14,2.44,2.27,2.59
,,,Destroyerallstar,Rival,"Necromorphs
Basilisks","The Monster Mash
The Bestiary",Lunar,40.2,174,13,0.425,0.462,6,7,3576,1950,1626,9,3,10,40,22.5%,306.5,167.1,139.3,0.77,0.26,0.86,3.43,275.1,150.0,125.1,0.69,0.23,0.77,3.08,23,28,1.97,2.40,1.77,2.15
,,,Freezin,Rival,Chromium,Metal,Solar,40.2,683,48,0.535,0.500,24,24,14565,8500,6065,36,23,53,110,32.7%,318.0,185.6,132.4,0.79,0.50,1.16,2.40,303.4,177.1,126.4,0.75,0.48,1.10,2.29,117,107,2.55,2.34,2.44,2.23
,,,Reccos007,Rival,Snowy Owls,Sub Zero,Solar,40.0,808,54,0.639,0.667,36,18,16822,9500,7322,36,33,60,125,28.8%,310.4,175.3,135.1,0.66,0.61,1.11,2.31,311.5,175.9,135.6,0.67,0.61,1.11,2.31,145,100,2.68,1.85,2.69,1.85
,,,Lynky,Rival,Polar Ice,Minty Fresh,Solar,39.8,724,50,0.365,0.420,21,29,15584,7860,7724,27,27,55,106,25.5%,321.0,161.9,159.1,0.56,0.56,1.13,2.18,311.7,157.2,154.5,0.54,0.54,1.10,2.12,97,138,2.00,2.84,1.94,2.76
,,,Mitchy.,Rival,Greed,Inferno,Solar,39.7,105,8,0.287,0.250,2,6,2103,1220,883,3,5,10,17,17.6%,298.7,173.3,125.4,0.43,0.71,1.42,2.41,262.9,152.5,110.4,0.38,0.63,1.25,2.13,13,23,1.85,3.27,1.63,2.88
,,,Nizzlepls,Rival,Necromorphs,The Monster Mash,Lunar,39.1,772,54,0.490,0.574,31,23,17604,10100,7504,40,19,81,110,36.4%,340.0,195.1,144.9,0.77,0.37,1.56,2.12,326.0,187.0,139.0,0.74,0.35,1.50,2.04,117,120,2.26,2.32,2.17,2.22
,,,Johkev,Rival,Sea Fury,Warbirds,Lunar,38.9,140,10,0.551,0.400,4,6,3082,1710,1372,7,4,12,21,33.3%,328.3,182.1,146.1,0.75,0.43,1.28,2.24,308.2,171.0,137.2,0.70,0.40,1.20,2.10,25,22,2.66,2.34,2.50,2.20
,,,Gidderrrs,Rival,Reverb,Rock FX,Lunar,38.4,830,56,0.408,0.321,18,38,16622,8860,7762,30,35,55,136,22.1%,298.6,159.2,139.4,0.54,0.63,0.99,2.44,296.8,158.2,138.6,0.54,0.63,0.98,2.43,110,140,1.98,2.52,1.96,2.50
,,,Tetsu,Rival,Polar Bears,The Bear Den,Lunar,38.3,16,2,0.653,0.500,1,1,349,110,239,0,1,1,1,0.0%,325.3,102.5,222.7,0.00,0.93,0.93,0.93,174.5,55.0,119.5,0.00,0.50,0.50,0.50,3,2,2.80,1.86,1.50,1.00
,,,Mini Magoo,Rival,Wings,Fifty-Fifty Pizzeria,Solar,38.3,448,28,0.602,0.536,15,13,9125,5330,3795,26,18,23,68,38.2%,303.7,177.4,126.3,0.87,0.60,0.77,2.26,325.9,190.4,135.5,0.93,0.64,0.82,2.43,82,63,2.73,2.10,2.93,2.25
,,,Braybaum02,Rival,Fangtooths,The Abyss,Lunar,38.3,319,23,0.483,0.435,10,13,7051,4100,2951,21,7,23,50,42.0%,329.6,191.7,137.9,0.98,0.33,1.08,2.34,306.6,178.3,128.3,0.91,0.30,1.00,2.17,45,47,2.10,2.20,1.96,2.04
,,,Le Duckz,Rival,MUTO,Kaiju,Solar,38.2,908,60,0.500,0.500,30,30,19102,10100,9002,37,32,68,140,26.4%,313.7,165.9,147.8,0.61,0.53,1.12,2.30,318.4,168.3,150.0,0.62,0.53,1.13,2.33,145,145,2.38,2.38,2.42,2.42
,,,Lynchmeister,Rival,Reverb,Rock FX,Lunar,38.0,576,40,0.477,0.400,16,24,12719,7360,5359,35,11,47,96,36.5%,329.3,190.5,138.7,0.91,0.28,1.22,2.49,318.0,184.0,134.0,0.88,0.28,1.18,2.40,80,85,2.07,2.20,2.00,2.13
,,,Doce,Rival,Taipans,The Serpents,Lunar,37.6,233,16,0.288,0.250,4,12,5470,3070,2400,14,2,24,37,37.8%,350.1,196.5,153.6,0.90,0.13,1.54,2.37,341.9,191.9,150.0,0.88,0.13,1.50,2.31,23,42,1.47,2.69,1.44,2.63
,,,Ttv_Nova_Ghostfy,Rival,"Holyhead Harpies
Taipans","Quidditch League
The Serpents",Solar,37.6,170,11,0.518,0.455,5,6,3875,2190,1685,7,4,21,24,29.2%,339.9,192.1,147.8,0.61,0.35,1.84,2.11,352.3,199.1,153.2,0.64,0.36,1.91,2.18,20,19,1.75,1.67,1.82,1.73
,,,Laprius,Rival,Polar Ice,Minty Fresh,Solar,37.0,227,17,0.383,0.471,8,9,4411,2310,2101,11,10,7,36,30.6%,289.8,151.7,138.0,0.72,0.66,0.46,2.36,259.5,135.9,123.6,0.65,0.59,0.41,2.12,35,47,2.30,3.09,2.06,2.76
,,,Anguz_Bruh,Rival,"Polar Ice
Scorpius","Minty Fresh
The N Ξ X U S",Solar,36.9,410,28,0.361,0.357,10,18,8899,4930,3969,18,11,39,63,28.6%,323.7,179.3,144.4,0.65,0.40,1.42,2.29,317.8,176.1,141.8,0.64,0.39,1.39,2.25,55,79,2.00,2.87,1.96,2.82
,,,Silverwolf,Rival,Warrior Wasps,The Swarm,Solar,36.5,53,4,0.390,0.250,1,3,1051,560,491,2,3,3,6,33.3%,295.7,157.6,138.1,0.56,0.84,0.84,1.69,262.8,140.0,122.8,0.50,0.75,0.75,1.50,10,13,2.81,3.66,2.50,3.25
,,,Soolkj,Rival,Taipans,The Serpents,Lunar,36.4,755,52,0.386,0.365,19,33,16713,8150,8563,24,26,71,90,26.7%,330.1,161.0,169.1,0.47,0.51,1.40,1.78,321.4,156.7,164.7,0.46,0.50,1.37,1.73,101,136,1.99,2.69,1.94,2.62
,,,Moon,Rival,Dire Wolves,Polar Vortex,Lunar,36.3,234,14,0.500,0.500,7,7,4660,2750,1910,13,8,13,40,32.5%,297.0,175.2,121.7,0.83,0.51,0.83,2.55,332.9,196.4,136.4,0.93,0.57,0.93,2.86,41,41,2.61,2.61,2.93,2.93
,,,Bieles,Rival,Shih Tzus,Puppy Paradise,Lunar,35.8,650,46,0.632,0.609,28,18,13051,7030,6021,33,20,32,113,29.2%,299.4,161.3,138.1,0.76,0.46,0.73,2.59,283.7,152.8,130.9,0.72,0.43,0.70,2.46,115,81,2.64,1.86,2.50,1.76
,,,Funke,Rival,Bowheads,Whale Defense,Solar,35.5,803,50,0.446,0.420,21,29,16119,9280,6839,36,26,60,138,26.1%,299.3,172.3,127.0,0.67,0.48,1.11,2.56,322.4,185.6,136.8,0.72,0.52,1.20,2.76,121,139,2.25,2.58,2.42,2.78
,,,Azazel,Rival,Chromium,Metal,Solar,34.6,529,36,0.500,0.444,16,20,11294,6250,5044,21,19,51,65,32.3%,318.4,176.2,142.2,0.59,0.54,1.44,1.83,313.7,173.6,140.1,0.58,0.53,1.42,1.81,76,76,2.14,2.14,2.11,2.11
,,,Heyzisthename11,Rival,Polaris,The Cosmos,Solar,34.4,89,6,0.500,0.333,2,4,1932,1130,802,5,2,8,13,38.5%,323.7,189.3,134.4,0.84,0.34,1.34,2.18,322.0,188.3,133.7,0.83,0.33,1.33,2.17,15,15,2.51,2.51,2.50,2.50
,,,Mysty,Rival,Polar Bears,The Bear Den,Lunar,33.9,916,62,0.399,0.484,30,32,19435,10750,8685,44,24,76,135,32.6%,316.4,175.0,141.4,0.72,0.39,1.24,2.20,313.5,173.4,140.1,0.71,0.39,1.23,2.18,137,177,2.23,2.88,2.21,2.85
,,,DⓤG,Rival,Taipans,The Serpents,Lunar,33.9,282,19,0.306,0.316,6,13,5916,2930,2986,9,8,24,43,20.9%,312.8,154.9,157.9,0.48,0.42,1.27,2.27,311.4,154.2,157.2,0.47,0.42,1.26,2.26,29,50,1.53,2.64,1.53,2.63
,,,Bradysc.,Rival,Hammerheads,Shark Attack,Lunar,32.3,971,63,0.428,0.413,26,37,19661,10660,9001,38,34,76,136,27.9%,301.9,163.7,138.2,0.58,0.52,1.17,2.09,312.1,169.2,142.9,0.60,0.54,1.21,2.16,129,156,1.98,2.40,2.05,2.48
,,,Chis,Rival,Vikings,The Sovereign,Lunar,32.2,390,26,0.479,0.500,13,13,8310,4380,3930,16,7,36,63,25.4%,317.7,167.5,150.3,0.61,0.27,1.38,2.41,319.6,168.5,151.2,0.62,0.27,1.38,2.42,53,56,2.03,2.14,2.04,2.15
,,,Saintgumbo98,Rival,Mozza Marauders,Italian Battalion,Lunar,31.9,477,33,0.295,0.242,8,25,9453,5500,3953,25,13,31,80,31.3%,295.5,171.9,123.6,0.78,0.41,0.97,2.50,286.5,166.7,119.8,0.76,0.39,0.94,2.42,61,105,1.91,3.28,1.85,3.18
,,,Varenine,Rival,Ultraviolet,The Wavelengths,Solar,31.9,387,25,0.428,0.480,12,13,8145,4710,3435,18,8,38,61,29.5%,313.8,181.5,132.4,0.69,0.31,1.46,2.35,325.8,188.4,137.4,0.72,0.32,1.52,2.44,46,56,1.77,2.16,1.84,2.24
,,,Scias,Rival,Leshy,The Forest,Lunar,31.5,648,43,0.518,0.535,23,20,13035,7270,5765,32,21,42,92,34.8%,300.0,167.3,132.7,0.74,0.48,0.97,2.12,303.1,169.1,134.1,0.74,0.49,0.98,2.14,110,105,2.53,2.42,2.56,2.44
,,,Tr1Ppn,Rival,Justice League,The Comic Crusaders,Lunar,30.7,614,42,0.500,0.500,21,21,12975,7420,5555,32,15,53,82,39.0%,315.1,180.2,134.9,0.78,0.36,1.29,1.99,308.9,176.7,132.3,0.76,0.36,1.26,1.95,99,99,2.40,2.40,2.36,2.36
,,,Donttakemyrock,Rival,"Bowheads
Snuggies","Whale Defense
As Seen on TV!",Solar,29.7,660,43,0.516,0.535,23,20,13113,7340,5773,32,22,43,89,36.0%,296.3,165.8,130.4,0.72,0.50,0.97,2.01,305.0,170.7,134.3,0.74,0.51,1.00,2.07,100,96,2.26,2.17,2.33,2.23
,,,Potato Prophecy,Rival,Rated-RKO,Rocket Association Wrestling,Lunar,28.4,991,64,0.299,0.313,20,44,20299,11100,9199,28,31,110,125,22.4%,305.4,167.0,138.4,0.42,0.47,1.66,1.88,317.2,173.4,143.7,0.44,0.48,1.72,1.95,108,188,1.63,2.83,1.69,2.94
,,,Bushboy72,Rival,Rated-RKO,Rocket Association Wrestling,Lunar,27.8,829,54,0.277,0.296,16,38,17309,9360,7949,34,18,79,111,30.6%,311.3,168.4,143.0,0.61,0.32,1.42,2.00,320.5,173.3,147.2,0.63,0.33,1.46,2.06,88,164,1.58,2.95,1.63,3.04
,,,Astro,Rival,Shih Tzus,Puppy Paradise,Lunar,27.1,735,51,0.577,0.588,30,21,14052,7620,6432,33,28,40,92,35.9%,285.1,154.6,130.5,0.67,0.57,0.81,1.87,275.5,149.4,126.1,0.65,0.55,0.78,1.80,113,92,2.29,1.87,2.22,1.80
,,,Turtle_Supreme,Rival,Rated-RKO,Rocket Association Wrestling,Lunar,27.0,909,59,0.302,0.322,19,40,18141,9840,8301,37,20,75,139,26.6%,297.6,161.4,136.2,0.61,0.33,1.23,2.28,307.5,166.8,140.7,0.63,0.34,1.27,2.36,99,171,1.62,2.81,1.68,2.90
,,,Pre,Rival,"Fangtooths
Polar Ice","The Abyss
Minty Fresh",Lunar,26.9,145,8,0.381,0.375,3,5,2721,1610,1111,9,3,6,26,34.6%,279.8,165.6,114.3,0.93,0.31,0.62,2.67,340.1,201.3,138.9,1.13,0.38,0.75,3.25,19,26,1.95,2.67,2.38,3.25
,,,Velocifaptor,Rival,Scorpius,The N Ξ X U S,Solar,26.8,586,40,0.420,0.425,17,23,11792,6270,5522,27,12,42,87,31.0%,300.1,159.5,140.5,0.69,0.31,1.07,2.21,294.8,156.8,138.1,0.68,0.30,1.05,2.18,88,108,2.24,2.75,2.20,2.70
,,,Derk,Rival,Holyhead Harpies,Quidditch League,Solar,25.9,536,35,0.505,0.457,16,19,10964,6060,4904,23,15,48,61,37.7%,305.0,168.6,136.4,0.64,0.42,1.34,1.70,313.3,173.1,140.1,0.66,0.43,1.37,1.74,86,85,2.39,2.36,2.46,2.43
,,,Monkries,Rival,Warrior Wasps,The Swarm,Solar,25.2,780,55,0.421,0.382,21,34,14702,8180,6522,31,34,51,83,37.3%,281.1,156.4,124.7,0.59,0.65,0.97,1.59,267.3,148.7,118.6,0.56,0.62,0.93,1.51,117,143,2.24,2.73,2.13,2.60
,,,Tvveedle,Rival,"Basilisks
Greed","The Bestiary
Inferno",Solar,25.0,203,15,0.293,0.267,4,11,4103,1930,2173,8,4,13,28,28.6%,301.4,141.8,159.6,0.59,0.29,0.95,2.06,273.5,128.7,144.9,0.53,0.27,0.87,1.87,24,42,1.76,3.09,1.60,2.80
,,,Mini,Rival,Hammerheads,Shark Attack,Lunar,24.9,299,21,0.343,0.333,7,14,5898,3080,2818,8,9,29,38,21.1%,294.1,153.6,140.5,0.40,0.45,1.45,1.90,280.9,146.7,134.2,0.38,0.43,1.38,1.81,31,48,1.55,2.39,1.48,2.29
,,,Rexxay614,Rival,"Snowy Owls
Reverb","Sub Zero
Rock FX",Lunar,24.6,425,28,0.465,0.464,13,15,7749,4490,3259,10,17,41,59,16.9%,271.9,157.5,114.3,0.35,0.60,1.44,2.07,276.8,160.4,116.4,0.36,0.61,1.46,2.11,65,71,2.28,2.49,2.32,2.54
,,,Toronto Pierson International,Rival,Fangtooths,The Abyss,Lunar,24.2,230,15,0.428,0.400,6,9,4314,2230,2084,6,9,18,28,21.4%,279.7,144.6,135.1,0.39,0.58,1.17,1.82,287.6,148.7,138.9,0.40,0.60,1.20,1.87,35,42,2.27,2.72,2.33,2.80
,,,Prodijoe,Rival,"Reverb
Rated-RKO","Rock FX
Rocket Association Wrestling",Lunar,21.4,371,25,0.346,0.360,9,16,7185,3990,3195,15,10,31,44,34.1%,288.8,160.4,128.4,0.60,0.40,1.25,1.77,287.4,159.6,127.8,0.60,0.40,1.24,1.76,42,64,1.69,2.57,1.68,2.56
,,,Carnagewolfbite,Rival,Scorpius,The N Ξ X U S,Solar,21.1,498,35,0.402,0.457,16,19,10044,5150,4894,16,13,48,50,32.0%,300.7,154.2,146.5,0.48,0.39,1.44,1.50,287.0,147.1,139.8,0.46,0.37,1.37,1.43,69,89,2.07,2.66,1.97,2.54
,,,Fryder,Rival,Wind,The Elements,Solar,20.7,685,47,0.397,0.362,17,30,13268,6620,6648,20,18,58,82,24.4%,288.8,144.1,144.7,0.44,0.39,1.26,1.79,282.3,140.9,141.4,0.43,0.38,1.23,1.74,95,124,2.07,2.70,2.02,2.64
,,,Swimmer,Rival,Bowheads,Whale Defense,Solar,20.7,658,44,0.477,0.477,21,23,12226,7120,5106,26,17,55,92,28.3%,277.1,161.4,115.7,0.59,0.39,1.25,2.08,277.9,161.8,116.0,0.59,0.39,1.25,2.09,98,104,2.22,2.36,2.23,2.36
,,,Mochi,Rival,"Rated-RKO
Sea Fury","Rocket Association Wrestling
Warbirds",Lunar,18.8,281,18,0.491,0.444,8,10,4961,2570,2391,11,9,13,37,29.7%,263.3,136.4,126.9,0.58,0.48,0.69,1.96,275.6,142.8,132.8,0.61,0.50,0.72,2.06,40,41,2.12,2.18,2.22,2.28
,,,Datdude0623,Rival,Dire Wolves,Polar Vortex,Lunar,18.8,686,48,0.337,0.250,12,36,12475,6330,6145,25,18,40,93,26.9%,271.2,137.6,133.6,0.54,0.39,0.87,2.02,259.9,131.9,128.0,0.52,0.38,0.83,1.94,87,134,1.89,2.91,1.81,2.79
,,,Rep_Array,Rival,Taipans,The Serpents,Lunar,15.0,60,4,0.210,0.000,0,4,1051,480,571,1,0,5,13,7.7%,261.2,119.3,141.9,0.25,0.00,1.24,3.23,262.8,120.0,142.8,0.25,0.00,1.25,3.25,5,12,1.24,2.98,1.25,3.00
,,,Freestyle,Rival,Leshy,The Forest,Lunar,14.2,137,10,0.375,0.400,4,6,2476,1360,1116,7,3,7,16,43.8%,269.5,148.0,121.5,0.76,0.33,0.76,1.74,247.6,136.0,111.6,0.70,0.30,0.70,1.60,18,25,1.96,2.72,1.80,2.50
,,,Halfiehour,Rival,"Holyhead Harpies
Basilisks","Quidditch League
The Bestiary",Solar,12.6,125,8,0.401,0.500,4,4,2133,1140,993,4,4,8,14,28.6%,254.4,136.0,118.5,0.48,0.48,0.95,1.67,266.6,142.5,124.1,0.50,0.50,1.00,1.75,17,22,2.03,2.62,2.13,2.75
,,,Mr. Nuke!,Rival,"Taipans
Surge","The Serpents
Electric Mayhem",Lunar,2.5,396,27,0.279,0.333,9,18,6641,3440,3201,13,7,28,39,33.3%,250.1,129.5,120.5,0.49,0.26,1.05,1.47,246.0,127.4,118.6,0.48,0.26,1.04,1.44,48,87,1.81,3.28,1.78,3.22
,,,Beyond Teddie,Rival,Fangtooths,The Abyss,Lunar,0.4,61,4,0.118,0.000,0,4,1028,410,618,0,1,6,6,0.0%,251.3,100.2,151.1,0.00,0.24,1.47,1.47,257.0,102.5,154.5,0.00,0.25,1.50,1.50,3,12,0.73,2.93,0.75,3.00
,,,Lshewasntreadyl,Rival,Warrior Wasps,The Swarm,Solar,-2.0,47,4,0.037,0.000,0,4,837,320,517,0,1,5,2,0.0%,265.6,101.5,164.0,0.00,0.32,1.59,0.63,209.3,80.0,129.3,0.00,0.25,1.25,0.50,2,15,0.63,4.76,0.50,3.75
